id,satisfaction,gender,customer_type,age,type_of_travel,class,flight_distance,seat_comfort,departure/arrival_time_convenient,food_and_drink,gate_location,inflight_wifi_service,inflight_entertainment,online_support,ease_of_online_booking,on-board_service,leg_room_service,baggage_handling,checkin_service,cleanliness,online_boarding,departure_delay_in_minutes,arrival_delay_in_minutes
1,0,Male,disloyal Customer,48,Business travel,Business,2211,3,3,3,3,5,3,5,5,3,2,5,4,5,5,2,5.0
2,1,Female,Loyal Customer,35,Business travel,Business,840,2,2,2,2,3,5,4,5,5,5,5,3,5,5,26,39.0
3,1,Male,Loyal Customer,41,Business travel,Business,879,4,4,4,4,5,5,5,3,3,3,3,4,3,5,0,0.0
4,1,Male,Loyal Customer,50,Business travel,Business,1932,2,2,2,2,4,4,5,5,5,5,5,3,5,4,0,0.0
5,1,Female,Loyal Customer,49,Business travel,Business,3512,3,3,3,3,4,5,4,3,3,4,3,3,3,5,0,1.0
6,1,Male,Loyal Customer,43,Business travel,Business,3831,4,4,4,4,3,5,4,4,4,4,4,3,4,3,0,0.0
7,1,Male,Loyal Customer,43,Business travel,Business,2008,3,3,3,3,5,4,5,5,5,5,5,4,5,4,0,0.0
8,1,Female,Loyal Customer,60,Business travel,Business,862,4,3,4,4,4,4,4,3,3,4,3,3,3,4,0,3.0
9,0,Male,Loyal Customer,50,Business travel,Business,2623,4,1,1,1,3,2,3,4,4,4,4,3,4,3,0,0.0
10,1,Female,Loyal Customer,38,Business travel,Business,2837,2,2,5,2,2,5,4,5,5,5,5,3,5,4,13,0.0
11,0,Female,disloyal Customer,28,Business travel,Business,2223,1,1,1,3,2,1,2,2,2,5,3,3,4,2,0,5.0
12,0,Female,disloyal Customer,27,Business travel,Business,1932,1,2,2,4,1,2,2,1,2,5,4,1,3,1,20,21.0
13,0,Male,disloyal Customer,24,Business travel,Eco,2069,2,2,2,4,5,2,5,5,2,4,4,2,4,5,16,30.0
14,0,Male,Loyal Customer,9,Personal Travel,Business,2614,1,5,1,2,5,1,5,5,4,3,4,5,5,5,68,76.0
15,0,Male,Loyal Customer,52,Personal Travel,Eco,1706,2,4,2,4,2,2,2,2,3,3,5,3,5,2,0,0.0
16,0,Male,Loyal Customer,70,Personal Travel,Eco,2538,2,5,2,1,5,2,5,5,4,2,4,4,5,5,0,0.0
17,1,Female,Loyal Customer,48,Personal Travel,Eco,836,4,4,4,4,4,3,3,4,4,4,4,4,4,4,0,0.0
18,1,Female,Loyal Customer,61,Personal Travel,Eco,860,3,3,4,3,5,4,5,4,4,4,4,3,4,3,0,0.0
19,1,Female,Loyal Customer,11,Personal Travel,Eco,2495,5,5,5,5,2,5,1,5,5,5,5,1,5,5,0,0.0
20,1,Female,Loyal Customer,42,Personal Travel,Eco,870,5,1,1,1,4,5,2,5,5,5,5,3,5,3,4,0.0
21,1,Female,Loyal Customer,14,Personal Travel,Eco,2292,1,1,1,1,5,5,4,4,4,5,4,4,4,5,12,1.0
22,1,Female,Loyal Customer,70,Personal Travel,Eco,872,0,0,0,4,4,5,5,2,2,2,2,4,2,3,0,0.0
23,0,Female,Loyal Customer,56,Personal Travel,Eco,824,4,4,3,3,3,4,3,5,5,3,5,4,5,4,0,0.0
24,0,Male,Loyal Customer,77,Business travel,Eco Plus,2201,4,5,5,5,4,4,4,4,4,5,3,1,2,4,0,0.0
25,1,Male,Loyal Customer,51,Business travel,Business,3470,3,3,3,3,2,4,5,5,5,4,5,5,5,4,0,2.0
26,1,Male,Loyal Customer,47,Business travel,Business,1698,4,4,5,4,5,4,5,5,5,5,4,5,5,5,0,15.0
27,1,Male,Loyal Customer,50,Business travel,Business,2174,3,3,3,3,2,4,5,5,5,5,5,4,5,4,6,24.0
28,1,Male,Loyal Customer,58,Business travel,Business,2896,0,5,0,4,5,5,5,3,3,3,3,4,3,5,0,0.0
29,1,Male,Loyal Customer,40,Business travel,Business,3779,4,4,4,4,2,4,4,5,5,5,5,4,5,3,0,52.0
30,1,Male,Loyal Customer,48,Business travel,Business,3132,4,4,5,4,3,4,4,4,4,4,4,3,4,3,0,12.0
31,0,Male,disloyal Customer,35,Business travel,Business,1525,2,2,2,1,2,2,2,2,4,5,5,5,4,2,0,0.0
32,1,Male,disloyal Customer,21,Business travel,Eco,1962,4,0,4,4,3,4,3,3,5,5,4,3,4,3,0,0.0
33,0,Female,disloyal Customer,33,Business travel,Business,1201,2,2,2,5,2,2,2,2,3,3,5,5,5,2,22,28.0
34,1,Female,Loyal Customer,48,Business travel,Business,89,0,5,0,4,3,5,4,5,5,5,5,5,5,4,0,0.0
35,1,Male,Loyal Customer,39,Business travel,Business,1692,2,2,2,2,5,4,5,3,3,4,5,5,3,5,23,17.0
36,1,Female,Loyal Customer,42,Business travel,Business,2885,5,2,5,5,2,4,5,5,5,5,5,3,5,4,0,0.0
37,1,Female,Loyal Customer,54,Business travel,Business,254,4,4,4,4,5,5,4,4,4,4,5,5,4,4,12,26.0
38,1,Female,Loyal Customer,51,Business travel,Business,237,4,4,4,4,3,4,5,5,5,4,5,4,5,3,0,0.0
39,1,Female,Loyal Customer,46,Business travel,Business,379,3,3,3,3,4,5,4,4,4,4,4,5,4,5,0,0.0
40,1,Male,Loyal Customer,51,Business travel,Business,243,2,2,2,2,2,4,4,5,5,4,4,3,5,5,0,0.0
41,1,Female,Loyal Customer,54,Business travel,Business,1560,2,2,2,2,2,4,4,4,4,4,4,3,4,5,59,70.0
42,1,Female,Loyal Customer,45,Business travel,Business,138,4,4,4,4,3,5,4,4,4,4,5,5,4,3,0,0.0
43,1,Female,Loyal Customer,54,Business travel,Business,1610,2,2,2,2,4,4,4,4,4,4,4,4,4,4,0,8.0
44,1,Male,Loyal Customer,51,Business travel,Business,2112,4,1,4,4,2,5,5,5,5,5,5,5,5,4,0,1.0
45,1,Male,Loyal Customer,56,Business travel,Business,202,0,5,0,3,2,5,4,4,4,3,3,4,4,5,30,14.0
